airport_name,far_description,investigation_type,report_status,longitude,total_minor_injuries,number_of_engines,registration_number,total_serious_injuries,publication_date,airport_code,air_carrier,location,aircraft_category,schedule,accident_number,latitude
GRIFFING-SANDUSKY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N737LH,0.0,08-01-1983,SKY,,"SANDUSKY, OH",Airplane,,CHI82DA022,
TWIN LAKES,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N25225,0.0,08-01-1983,SC42,,"GRANTITEVILLE, SC",Airplane,,ATL82DLG09,
CALISTOGA,Part 91: General Aviation,Accident,Probable Cause,,0.0,0.0,N10UP,0.0,09-01-1983,,,"CALISTOGA, CA",Glider,,LAX82DVG13,
NAPA,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N731NZ,1.0,09-01-1983,,,"NAPA, CA",Airplane,,LAX82DVG12,
PRIVATE STRIP,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7355A,0.0,09-01-1983,,,"FRUIT VALE, TX",Airplane,,FTW82DA039,
DAVID WAYNE HOOKS,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N55489,0.0,09-01-1983,DWH,,"TOMBALL, TX",Airplane,,FTW82DA038,
DILLINGHAM,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N5639V,0.0,09-01-1983,,,"MOKULEIA, HI",Airplane,,LAX82FJA03,
ROUTT CITY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2195G,0.0,09-01-1983,SBS,,"STEAMBOAT SPRIN, CO",Airplane,,DEN82FTE15,
LOWERY DAVIS,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N567V,2.0,10-01-1983,,,"OKEECHOBEE, FL",Airplane,,MIA82DA032,
BULLHEAD CITY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2753J,0.0,10-01-1983,P06,,"BULLHEAD CITY, AZ",Airplane,,LAX82DA041,
PALWAUKEE,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N6995Y,0.0,10-01-1983,PWK,,"WHEELING, IL",Airplane,,CHI82FA025,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N3688N,1.0,10-01-1983,,,"HENDERSON, NC",Airplane,,ATL82FA032,
,Part 91: General Aviation,Accident,Probable Cause,,4.0,1.0,N2644Q,0.0,10-01-1983,,,"MOJAVE, CA",Airplane,,LAX82FUQ07,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N234Q,0.0,10-01-1983,,,"UPLAND, CA",Airplane,,LAX82FUG05,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,3.0,1.0,N756YN,0.0,10-01-1983,,Tri-city Air Service,"QUINHAGAK, AK",Airplane,NSCH,ANC82DA013,
,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N7273J,1.0,11-01-1983,,,"NEAR BOZEMAN, MT",Airplane,,DEN82FTI10,
RIVERTON REGIONAL,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N6558A,1.0,11-01-1983,,,"RIVERTON, WY",Airplane,,DEN82FA017,
COCHETOPA,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2332C,0.0,11-01-1983,28V,,"SAQUACHE, CO",Airplane,,DEN82FTE16,
AUBURN/OPELIKA,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N424VW,0.0,11-01-1983,AVO,,"AUBURN, AL",Airplane,,ATL82DKJ09,
CHICAGO O'HARE INTER'L,Part 121: Air Carrier,Incident,Probable Cause,,0.0,3.0,N31031,0.0,12-01-1983,ORD,Trans World Airlines,"CHICAGO, IL",Airplane,SCHD,CHI82IA026,
BENEDUM,Part 135: Air Taxi & Commuter,Incident,Probable Cause,,0.0,2.0,N615KC,0.0,12-01-1983,CKB,Aeromech Incorporated,"CLARKSBURG, WV",Airplane,SCHD,ATL82IA034,
,Part 91: General Aviation,Accident,Probable Cause,,3.0,2.0,N7706,0.0,12-01-1983,,,"ABERDEEN, MS",Airplane,,ATL82FKQ09,
ADDISON,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N8678M,1.0,12-01-1983,11,,"ADDISON, TX",Airplane,,FTW82FPA10,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N28607,0.0,13-01-1983,,,"MONTICELLO, FL",Airplane,,MIA82DA033,
WASHINGTON NATIONAL,,Accident,Probable Cause,,3.0,2.0,N62AF,6.0,13-01-1983,,"Air Florida, Inc","WASHINGTON, DC",,SCHD,DCA82AA011,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N47442,0.0,13-01-1983,,,"WATONGA, OK",Airplane,,FTW82FPJ11,
LEA COUNTY HOBBS,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2396W,0.0,13-01-1983,HOB,,"HOBBS, NM",Airplane,,FTW82DA040,
GEIGER FIELD,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,2.0,N36PB,0.0,13-01-1983,,Richard Engstrom,"SPOKANE, WA",Airplane,NSCH,SEA82DA017,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6520Y,0.0,15-01-1983,,,"28 MI ENE OGDEN, UT",Airplane,,DEN82FA018,
BUTLER ROE,,Accident,Probable Cause,,,2.0,N4875B,,15-01-1983,3G9,,"BUTLER, PA",,,NYC82DA022,
TAYLOR FARMS,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N5559T,0.0,15-01-1983,,,"MALONE, FL",Airplane,,MIA82DKJ03,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N58203,0.0,15-01-1983,,,"S.E. OF MALTA, ID",Helicopter,,SEA82DA019,
FELTS,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N72901,0.0,15-01-1983,SFF,,"SPOKANE, WA",Airplane,,SEA82DA018,
JOHN F. KENNEDY INT'L,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,2.0,2.0,N341PL,1.0,15-01-1983,JFK,Pocono Airlines,"JAMAICA, NY",Airplane,SCHD,NYC82FA021,
ANOKA COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N300JR,0.0,15-01-1983,ANE,,"ANOKA, MN",Airplane,,CHI82DA027,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N1459T,0.0,15-01-1983,,"Sea Airmotive, Inc.","NEAR NUIQSUT, AK",Airplane,NSCH,ANC82DA015,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N1081H,2.0,16-01-1983,,Offshore Logistics,"HOUMA, LA",Helicopter,NSCH,FTW82FA041,
FRANKLIN COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N704KE,0.0,16-01-1983,1B7,,"SWANTON, VT",Airplane,,NYC82DA023,
UNIVERSITY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N63182,0.0,17-01-1983,005,,"DAVIS, CA",Airplane,,LAX82FVG14,
MOJANE,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N381JH,0.0,17-01-1983,MHV,,"MOJAVE, CA",Airplane,,LAX82FUQ08,
,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N7383S,0.0,17-01-1983,,,"SUNFLOWER, AZ",Airplane,,LAX82FUJ24,
HONOLULU INTL,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,2.0,2.0,N21DR,0.0,17-01-1983,,Island Airlines Hawaii Inc.,"HONOLULU, HI",Airplane,SCHD,LAX82DA042,
PORT MANSFIELD,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N9181Y,0.0,17-01-1983,T05,,"PORT MANSFIELD, TX",Airplane,,FTW82FRG21,
,Part 91: General Aviation,Accident,Probable Cause,,3.0,2.0,N91TW,0.0,17-01-1983,,,"DELTA, UT",Airplane,,DEN82FA020,
PICAYUNE-PEARL RIVER CNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N654T,0.0,17-01-1983,PCU,,"PICAYUNE, MS",Airplane,,ATL82FA035,
MERRILL FIELD,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N63516,0.0,17-01-1983,MRI,,"ANCHORAGE, AK",Airplane,,ANC82DA014,
SWAINS CREEK,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2600Y,0.0,17-01-1983,,,"CEDAR CITY, UT",Airplane,,DEN82DA019,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N3574D,0.0,17-01-1983,,,"TULUKSAK, AK",Airplane,,ANC82DAG15,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N203AL,0.0,17-01-1983,,,"CENTERVILLE, AL",Helicopter,,ATL82DA036,
CLARK COUNTY,Part 91: General Aviation,Accident,Probable Cause,,2.0,1.0,N2127W,2.0,18-01-1983,,,"ORCHARDS, WA",Airplane,,SEA82FYM08,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N5295R,0.0,18-01-1983,,,"DOWNIEVILLE, CA",Airplane,,LAX82FA047,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4583J,0.0,18-01-1983,,,"BLAIRSVILLE, GA",Airplane,,ATL82FA039,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2705K,0.0,18-01-1983,,,"S.E. OF HOUMA, LA",Airplane,,FTW82DA045,
HUNTSVILLE-MADISON COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N641CH,0.0,18-01-1983,HSV,,"MADISON COUNTY, AL",Airplane,,ATL82FA037,
MILLS RANCH,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7761M,0.0,19-01-1983,KS30,,"CEDAR VALE, KS",Airplane,,MKC82FCQ08,
STILLWATER MUNICIPAL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4438D,0.0,19-01-1983,SWO,,"STILLWATER, OK",Airplane,,FTW82FPJ12,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N35147,2.0,19-01-1983,,,"WOLF PT., MT",Airplane,,DEN82FTA09,
ARANSAS COUNTY AIRPORT,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N26660,0.0,19-01-1983,RKP,,"ROCKPORT, TX",Airplane,,DCA82AA012B,
ARANSAS COUNTY AIRPORT,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N336SA,0.0,19-01-1983,RKP,,"ROCKPORT, TX",Airplane,,DCA82AA012A,
,Part 91: General Aviation,Incident,Probable Cause,,0.0,2.0,N9240N,0.0,19-01-1983,IAD,,"WASHINGTON, DC",Airplane,,ATL82IA038,
SOMERSET COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N8043J,0.0,19-01-1983,2G9,,"SOMERSET, PA",Airplane,,NYC82DA026,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N68292,0.0,19-01-1983,,,"ENFIELD, NH",Airplane,,NYC82DA024,
,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N52757,0.0,19-01-1983,,,"TOPEKA, KS",Airplane,,MKC82DA018,
MORNINGSTAR,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N1969Q,0.0,19-01-1983,Y76,,"URBANDALE, IA",Airplane,,MKC82DA017,
MOJANE,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N824CB,0.0,19-01-1983,IGM,,"KINGMAN, AZ",Airplane,,LAX82FUJ26,
SANTA MONICA,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N9255X,0.0,19-01-1983,SMO,,"SANTA MONICA, CA",Airplane,,LAX82DA043,
SHREVEPORT REGIONAL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6510S,0.0,19-01-1983,SHV,,"SHREVEPORT, LA",Airplane,,FTW82DA042,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N4140G,0.0,19-01-1983,,,"NEAR LANSING, MI",Airplane,,CHI82DA056,
KENT COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N26093,0.0,19-01-1983,GRR,,"GRAND RAPIDS, MI",Airplane,,CHI82DA028,
MIAMI INTL,Part 129: Foreign,Accident,Probable Cause,,0.0,4.0,HCBHS,0.0,19-01-1983,MIA,"Acroservicios Eduatorianos, C","MIAMI, FL",Airplane,NSCH,MIA82FA034,
TUNTUTULIAK,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N4246T,0.0,19-01-1983,AK61,Dennis L Gunder,"TUNTUTULIAK, AK",Airplane,NSCH,ANC82DA019,
SAN JOSE MUNICIPAL,Part 91: General Aviation,Incident,Probable Cause,,0.0,2.0,N74HP,0.0,20-01-1983,SJC,,"SAN JOSE, CA",Airplane,,LAX82IA044,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N9395Q,0.0,20-01-1983,,,"CHERRY VALLEY, CA",Airplane,,LAX82FA048,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N92387,0.0,20-01-1983,,,"ESCONDIDO, CA",Airplane,,LAX82FA045,
MCCOMB-PIKE COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N6242Y,0.0,20-01-1983,,,"MCCOMB, MS",Airplane,,ATL82FKQ10,
HERNDON,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N3318S,0.0,20-01-1983,ORL,,"ORLANDO, FL",Airplane,,MIA82FA035,
MIDLAND AIRPARK,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N5350M,0.0,20-01-1983,MDD,,"MIDLAND, TX",Airplane,,FTW82DA044,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7402F,0.0,20-01-1983,,,"BONDURANT, WY",Helicopter,,DEN82DA021,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4947K,0.0,21-01-1983,,,"BOISE, ID",Airplane,,SEA82FA032,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,2.0,N4553Q,0.0,21-01-1983,,"Springdale Air Service, Inc.","NORTH KANSAS CI, MO",Airplane,NSCH,MKC82FA019,
OPA LOCKA WEST,Part 91: General Aviation,Accident,Probable Cause,,2.0,2.0,N211TA,0.0,21-01-1983,X64,,"15NM W. OPA LOC, FL",Airplane,,MIA82FA037,
BAGDAD,Part 91: General Aviation,Accident,Probable Cause,,2.0,2.0,N40291,1.0,21-01-1983,E51,,"BAGDAD, AZ",Airplane,,LAX82FUJ25,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N41664,0.0,21-01-1983,,,"10NM N. OF MCNA, AZ",Airplane,,LAX82FA050,
NEW ALBANY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6142L,0.0,21-01-1983,,,"NEW ALBANY, MS",Airplane,,ATL82FLT02,
MUSCLE SHOALS,Part 91: General Aviation,Accident,Probable Cause,,3.0,1.0,N31937,1.0,21-01-1983,MSL,,"MUSCLE SHOALS, AL",Airplane,,ATL82FKJ11,
ENGLISH BAY,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,1.0,1.0,N1729U,0.0,21-01-1983,KEB,Cook Inlet Aviation,"PORT GRAHAM, AK",Airplane,NSCH,ANC82DA016,
SHELL LAKE,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6029Q,0.0,21-01-1983,39D,,"SHELL LAKE, WI",Airplane,,CHI82DA029,
SPAIN-AIR AIRPORT,Part 137: Agricultural,Accident,Probable Cause,,0.0,1.0,N8793S,0.0,21-01-1983,Q38,,"DOS PALOS, CA",Airplane,UNK,LAX82DA046,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N13JL,0.0,22-01-1983,,,"LANCASTER, CA",Airplane,,LAX82FUQ09,
STANDIFORD FIELD,Part 121: Air Carrier,Incident,Probable Cause,,0.0,2.0,N18FE,0.0,22-01-1983,SDF,Federal Express Corporation,"LOUISVILLE, KY",Airplane,SCHD,ATL82IA041,
CARSON CITY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N13083,0.0,22-01-1983,004,,"CARSON CITY, NV",Airplane,,LAX82DA060,
,Part 133: Rotorcraft Ext. Load,Accident,Probable Cause,,0.0,1.0,N97AR,0.0,22-01-1983,,,"NEAR KINGSTON, ID",Helicopter,UNK,SEA82DA020,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N8172B,1.0,23-01-1983,,,"LAPINE, OR",Airplane,,SEA82FYK07,
,Part 91: General Aviation,Accident,Probable Cause,,4.0,1.0,N7860V,0.0,23-01-1983,,,"VICTORVILLE, CA",Airplane,,LAX82FA049A,
,Part 137: Agricultural,Accident,Probable Cause,,0.0,1.0,N8584,0.0,23-01-1983,,,"HOBBS, NM",Airplane,UNK,FTW82DA047,
BOSTON-LOGAN INTER'L,Part 121: Air Carrier,Accident,Probable Cause,,24.0,3.0,N113WA,4.0,23-01-1983,,"World Airways, Inc.","BOSTON, MA",Airplane,SCHD,DCA82AA013,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6940Q,0.0,23-01-1983,,,"LONDON, OH",Airplane,,CHI82FA032,
PHILLIP BILLARD,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2872D,0.0,23-01-1983,TOP,,"TOPEKA, KS",Airplane,,MKC82DA020,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N45453,0.0,23-01-1983,,,"NEWPORT RICHEY, FL",Airplane,,MIA82FA038B,
